,rdPr,hm,cl,numPackets,avgReadLatency,avgWriteLatency,readBW,writeBW,totBW,ARL,AWL
0,RO,hit,clean,4312089,615902.947831,nan,27595668961.732414,0,27.595668961732414,615.902947831,
1,RO,hit,dirty,4312089,615902.947831,nan,27595668961.732414,0,27.595668961732414,615.902947831,
2,RO,miss,clean,2803437,932962.154380,nan,17940311572.744793,0,17.940311572744793,932.96215438,
3,RO,miss,dirty,1635462,1304703.316061,nan,10466102377.775179,0,10.46610237777518,1304.7033160610001,
4,R67,hit,clean,3882483,621522.024004,22535.431978,16478623808.550476,8367951852.819259,24.846575661369737,621.5220240040001,22.535431978000002
5,R67,hit,dirty,3882483,621522.024004,22535.431978,16478623808.550476,8367951852.819259,24.846575661369737,621.5220240040001,22.535431978000002
6,R67,miss,clean,4227106,805300.252624,22386.168311,17942582011.483601,9109335778.132845,27.051917789616446,805.300252624,22.386168311000002
7,R67,miss,dirty,1767660,1209811.043022,25699.694193,7501056000,3810796800,11.3118528,1209.811043022,25.699694193
8,WO,hit,clean,4325768,nan,22385.498360,0,27684857600,27.6848576,,22.38549836
9,WO,hit,dirty,4325768,nan,22385.498360,0,27684857600,27.6848576,,22.38549836
10,WO,miss,clean,4325768,nan,22385.498360,0,27684857600,27.6848576,,22.38549836
11,WO,miss,dirty,1781341,nan,25792.209415,0,11400569600,11.4005696,,25.792209415000002
